year,population_total,population_growth_annual_percent,net_migration,net_migration_rate_per_1000,gdp_current_usd,gdp_growth_annual_percent,gdp_per_capita_current_usd,unemployment_total_percent,remittances_percent_gdp,fdi_percent_gdp,total_first_residence_permits,residence_permits_per_100k_population,employment_permit_share,education_permit_share,family_permit_share,migration_pressure_index,youth_population_0_14,working_age_population_15_64,elderly_population_65_plus,youth_share_0_14_percent,working_age_share_15_64_percent,elderly_share_65_plus_percent,dependency_ratio_total,old_age_dependency_ratio,youth_dependency_ratio
2016,2689469.0,-1.54313470861992,-9347.0,-3.4754072272258947,11988668784.6628,3.90893551362245,4457.63412207495,15.418,10.8936962925845,8.71147225448456,2911426.0,108252.81867907757,0.278138960083478,0.1551861527650024,0.2681816401996822,108256.29408630476,500410.0,1841574.0,347485.0,18.6062746506784,68.473513186339,12.9202121629827,46.04186418791751,18.868913223144983,27.172950964772525
2017,2648285.0,-1.54315156766944,-14901.0,-5.626660272591507,13258268435.6048,3.28317593330073,5006.36012951959,13.616,9.89437224407924,7.71411336285186,3064248.0,115706.88200099312,0.3056681443538512,0.1550367333192352,0.2720461920836695,115712.5086612657,484195.0,1811725.0,352365.0,18.2833562063906,68.411252681582,13.3053911120274,46.17477818101533,19.449143771819674,26.72563440919566
2018,2607733.0,-1.54309991591532,-15032.0,-5.764393824060975,15379508329.7568,3.67141928098908,5897.65452588774,12.304,9.48151283244669,7.83109146132114,3047171.0,116851.34175929822,0.3214138622348401,0.1725951710619456,0.2999339387254604,116857.10615312228,469529.0,1779914.0,358290.0,18.0052663384505,68.2552118334715,13.739521828078,46.50893245403992,20.129624240272285,26.37930821376764
2019,2567801.0,-1.54313709096794,-23094.0,-8.99368759494992,15585111614.0376,2.06257790176122,6069.43903131027,11.466,9.45012315653745,7.70621465029911,2695223.0,104962.3004274864,0.3889730089124351,0.1249117419968589,0.2945596709437401,104971.29411508134,455638.0,1746300.0,365863.0,17.7442916565786,68.0076096803147,14.2480986631067,47.04237530779362,20.95075302067228,26.09162228712134
2020,2528480.0,-1.54315589345436,-16680.0,-6.596848699613997,15241458744.5927,-3.31375636888916,6027.91350716348,11.639,9.61841800746962,7.01865154497786,2124254.0,84013.08295893185,0.3928113116416398,0.1169921299430294,0.2877099442910311,84019.67980763146,443040.0,1712060.0,373381.0,17.5219758955011,67.7110196944345,14.7670044100644,47.68647126853031,21.808873520787824,25.877597747742488
2021,2489762.0,-1.54312080996395,-32848.0,-13.193228911036476,18031989573.0294,8.96957619074095,7242.45513146613,11.474,9.52948598024897,6.75791457973236,3079897.0,123702.4663401562,0.3999036331409784,0.1168811814161317,0.2648416489252725,123715.65956906724,432408.0,1677267.0,380087.0,17.3674317294264,67.3665631972931,15.2660050732804,48.441601724710495,22.661090929470383,25.780510795240115
2022,2451636.0,-1.54315667695786,-16426.0,-6.700015826166691,19017247013.8821,4.8268006234359,7756.96188744253,10.785,9.17717025231113,7.57934042905775,3239522.0,132137.15249735277,0.3319310688428725,0.1217766077834939,0.2815745656303615,132143.85251317895,422232.0,1642625.0,386778.0,17.2224721389952,67.0011896981477,15.7763381628571,49.25104634350506,23.546335895289552,25.704710448215508
2023,2414095.0,-1.54310811387613,-25357.0,-10.5037291407339,23491242727.4082,4.01541716935742,9730.86921906893,10.669,8.66778018906039,6.90036950940795,3442610.0,142604.57852735705,0.3049723901342295,0.1321822686856774,0.2882011032327217,142615.0822564978,411409.0,1609140.0,393546.0,17.0419734995937,66.6560264328305,16.3020000675759,50.02392582373193,24.45691487378351,25.567010949948425
2024,2377128.0,-1.54314393524594,-24472.0,-10.294775880810793,27046429296.6673,4.04592845095348,11377.7757431099,10.689,8.40939322766939,6.32349466068578,3141954.0,132174.37176290044,0.2928699783637825,0.1432589401372521,0.2937391826869521,132184.66653878125,400327.0,1574525.0,402276.0,16.8407829528601,66.2364608476109,16.922756199529,50.97429383464854,25.549038598942538,25.425255235706008
2025,,,-24230.0,,,,,10.926,,,74903.0,,0.1012509512302578,0.1482183624153905,0.4736525906839512,,391125.0,1549119.0,415053.0,16.6061971688693,65.7716964503975,17.6221063807332,52.04106333987253,26.792841608682096,25.24822173119044
