Country Name,Country Code,Indicator Name,Indicator Code,year,value,indicator_short_name
Albania,ALB,Net migration,SM.POP.NETM,1985,-183.0,net_migration
Albania,ALB,"Population, total",SP.POP.TOTL,1985,2964762.0,population_total
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1985,639.865903755552,gdp_per_capita_current_usd
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1986,0.0,fdi_percent_gdp
Albania,ALB,Population growth (annual %),SP.POP.GROW,1986,1.93322081083734,population_growth
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1986,5.63724317852117,gdp_growth_annual_percent
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1986,2097326250.0,gdp_current_usd
Albania,ALB,Net migration,SM.POP.NETM,1986,-2309.0,net_migration
Albania,ALB,"Population, total",SP.POP.TOTL,1986,3022635.0,population_total
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1986,693.873474633887,gdp_per_capita_current_usd
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1987,0.0,fdi_percent_gdp
Albania,ALB,Population growth (annual %),SP.POP.GROW,1987,1.99703995612751,population_growth
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1987,-0.787842654927232,gdp_growth_annual_percent
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1987,2080796250.0,gdp_current_usd
Albania,ALB,Net migration,SM.POP.NETM,1987,-3250.0,net_migration
Albania,ALB,"Population, total",SP.POP.TOTL,1987,3083605.0,population_total
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1987,674.793383069492,gdp_per_capita_current_usd
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1988,0.0,fdi_percent_gdp
Albania,ALB,Population growth (annual %),SP.POP.GROW,1988,1.88671052887888,population_growth
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1988,-1.42003965566396,gdp_growth_annual_percent
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1988,2051236250.0,gdp_current_usd
Albania,ALB,Net migration,SM.POP.NETM,1988,658.0,net_migration
Albania,ALB,"Population, total",SP.POP.TOTL,1988,3142336.0,population_total
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1988,652.774321396566,gdp_per_capita_current_usd
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1989,0.0,fdi_percent_gdp
Albania,ALB,Population growth (annual %),SP.POP.GROW,1989,2.68786198874035,population_growth
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1989,9.8365489718722,gdp_growth_annual_percent
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1989,2253090000.0,gdp_current_usd
Albania,ALB,Net migration,SM.POP.NETM,1989,-38835.0,net_migration
Albania,ALB,"Population, total",SP.POP.TOTL,1989,3227943.0,population_total
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1989,697.995596576519,gdp_per_capita_current_usd
Albania,ALB,Population growth (annual %),SP.POP.GROW,1990,1.79908559333186,population_growth
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1990,-9.57564016993408,gdp_growth_annual_percent
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1990,2028553750.0,gdp_current_usd
Albania,ALB,Net migration,SM.POP.NETM,1990,-60173.0,net_migration
Albania,ALB,"Population, total",SP.POP.TOTL,1990,3286542.0,population_total
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1990,617.230435515505,gdp_per_capita_current_usd
Albania,ALB,Population growth (annual %),SP.POP.GROW,1991,-0.602809679480026,population_growth
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1991,-28.0021416538074,gdp_growth_annual_percent
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1991,1099559027.77778,gdp_current_usd
Albania,ALB,Net migration,SM.POP.NETM,1991,-63689.0,net_migration
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1991,10.304,unemployment_total_percent
Albania,ALB,"Population, total",SP.POP.TOTL,1991,3266790.0,population_total
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1991,336.586994504629,gdp_per_capita_current_usd
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1992,3.06666159864896,fdi_percent_gdp
Albania,ALB,Population growth (annual %),SP.POP.GROW,1992,-0.606434726201759,population_growth
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1992,-7.18711090964234,gdp_growth_annual_percent
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1992,652174990.837304,gdp_current_usd
Albania,ALB,Net migration,SM.POP.NETM,1992,-66538.0,net_migration
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1992,30.007,unemployment_total_percent
Albania,ALB,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,1992,23.2759615337456,remittances_percent_gdp
Albania,ALB,"Population, total",SP.POP.TOTL,1992,3247039.0,population_total
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1992,200.852219772323,gdp_per_capita_current_usd
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1993,4.89321210624299,fdi_percent_gdp
Albania,ALB,Population growth (annual %),SP.POP.GROW,1993,-0.610165792730247,population_growth
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1993,9.55941167111243,gdp_growth_annual_percent
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1993,1185315468.46295,gdp_current_usd
Albania,ALB,Net migration,SM.POP.NETM,1993,-68445.0,net_migration
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1993,25.251,unemployment_total_percent
Albania,ALB,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,1993,28.0094210219427,remittances_percent_gdp
Albania,ALB,"Population, total",SP.POP.TOTL,1993,3227287.0,population_total
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1993,367.279225077581,gdp_per_capita_current_usd
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1994,2.81772379080922,fdi_percent_gdp
Albania,ALB,Population growth (annual %),SP.POP.GROW,1994,-0.613880506929603,population_growth
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1994,8.30286659699082,gdp_growth_annual_percent
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1994,1880950864.41311,gdp_current_usd
Albania,ALB,Net migration,SM.POP.NETM,1994,-70165.0,net_migration
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1994,20.835,unemployment_total_percent
Albania,ALB,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,1994,16.3268486067455,remittances_percent_gdp
Albania,ALB,"Population, total",SP.POP.TOTL,1994,3207536.0,population_total
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1994,586.416135130865,gdp_per_capita_current_usd
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1995,2.40956158210409,fdi_percent_gdp
Albania,ALB,Population growth (annual %),SP.POP.GROW,1995,-0.617703658436963,population_growth
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1995,13.3223333268813,gdp_growth_annual_percent
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1995,2905092798.61916,gdp_current_usd
Albania,ALB,Net migration,SM.POP.NETM,1995,-69785.0,net_migration
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1995,14.607,unemployment_total_percent
Albania,ALB,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,1995,14.7086523433297,remittances_percent_gdp
Albania,ALB,"Population, total",SP.POP.TOTL,1995,3187784.0,population_total
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1995,911.320465445326,gdp_per_capita_current_usd
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1996,2.78560468452093,fdi_percent_gdp
Albania,ALB,Population growth (annual %),SP.POP.GROW,1996,-0.62151139901728,population_growth
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1996,7.33632894771891,gdp_growth_annual_percent
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1996,3234486232.04392,gdp_current_usd
Albania,ALB,Net migration,SM.POP.NETM,1996,-68076.0,net_migration
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1996,13.928,unemployment_total_percent
Albania,ALB,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,1996,17.0320712619599,remittances_percent_gdp
Albania,ALB,"Population, total",SP.POP.TOTL,1996,3168033.0,population_total
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1996,1020.97618050188,gdp_per_capita_current_usd
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1997,2.07092049927343,fdi_percent_gdp
Albania,ALB,Population growth (annual %),SP.POP.GROW,1997,-0.625430096900055,population_growth
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1997,-11.7115732812278,gdp_growth_annual_percent
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1997,2293666029.99318,gdp_current_usd
Albania,ALB,Net migration,SM.POP.NETM,1997,-66188.0,net_migration
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1997,16.872,unemployment_total_percent
Albania,ALB,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,1997,13.0925773880382,remittances_percent_gdp
Albania,ALB,"Population, total",SP.POP.TOTL,1997,3148281.0,population_total
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1997,728.545523729675,gdp_per_capita_current_usd
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1998,1.73091617857629,fdi_percent_gdp
Albania,ALB,Population growth (annual %),SP.POP.GROW,1998,-0.629334392525913,population_growth
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1998,8.3100252038309,gdp_growth_annual_percent
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1998,2600356999.20614,gdp_current_usd
Albania,ALB,Net migration,SM.POP.NETM,1998,-66087.0,net_migration
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1998,20.042,unemployment_total_percent
Albania,ALB,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,1998,19.3873379752822,remittances_percent_gdp
Albania,ALB,"Population, total",SP.POP.TOTL,1998,3128530.0,population_total
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1998,831.175344077295,gdp_per_capita_current_usd
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1999,1.25458994529204,fdi_percent_gdp
Albania,ALB,Population growth (annual %),SP.POP.GROW,1999,-0.63335227398725,population_growth
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1999,12.2507281968475,gdp_growth_annual_percent
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1999,3283941510.49964,gdp_current_usd
