year,population_total,population_growth_annual_percent,net_migration,gdp_current_usd,gdp_growth_annual_percent,gdp_per_capita_current_usd,unemployment_total_percent,remittances_percent_gdp,fdi_percent_gdp,eurostat_immigration_to_europe,eurostat_emigration_from_europe,total_first_residence_permits,education_permits,employment_permits,family_permits,other_reason_permits,net_migration_rate_per_1000,residence_permits_per_100k_population,employment_permit_share,education_permit_share,family_permit_share,migration_pressure_index
2014,2773767.0,-1.54313753739282,-21706.0,13296322588.1684,2.24022695382642,4793.59751131525,18.055,10.6872215602712,8.64846635716115,,,2217412.0,434843.0,540863.0,668252.0,,-7.825459023775249,79942.25902896674,0.2439163312907118,0.1961038363641939,0.3013657362727359,79950.08448799052
2015,2731293.0,-1.54312006878448,-20500.0,11470171826.9575,2.2277040745779,4199.53912925398,17.193,11.2540904144104,8.62740636982337,10169201.0,6078939.0,2513506.0,482943.0,667160.0,753099.0,,-7.50560265778882,92026.2307998446,0.2654300407478637,0.1921391872547748,0.2996209278991178,92033.7364025024
2016,2689469.0,-1.54313470861992,-9347.0,11988668784.6628,3.90893551362245,4457.63412207495,15.418,10.8936962925845,8.71147225448456,9341215.0,6625508.0,2911426.0,451813.0,809781.0,780791.0,,-3.4754072272258947,108252.81867907757,0.278138960083478,0.1551861527650024,0.2681816401996822,108256.29408630476
2017,2648285.0,-1.54315156766944,-14901.0,13258268435.6048,3.28317593330073,5006.36012951959,13.616,9.89437224407924,7.71411336285186,9501195.0,6565859.0,3064248.0,475071.0,936643.0,833617.0,,-5.626660272591507,115706.88200099312,0.3056681443538512,0.1550367333192352,0.2720461920836695,115712.5086612657
2018,2607733.0,-1.54309991591532,-15032.0,15379508329.7568,3.67141928098908,5897.65452588774,12.304,9.48151283244669,7.83109146132114,9780093.0,6169837.0,3047171.0,525927.0,979403.0,913950.0,,-5.764393824060975,116851.34175929822,0.3214138622348401,0.1725951710619456,0.2999339387254604,116857.10615312228
2019,2567801.0,-1.54313709096794,-23094.0,15585111614.0376,2.06257790176122,6069.43903131027,11.466,9.45012315653745,7.70621465029911,10483989.0,6517560.0,2695223.0,336665.0,1048369.0,793904.0,,-8.99368759494992,104962.3004274864,0.3889730089124351,0.1249117419968589,0.2945596709437401,104971.29411508134
2020,2528480.0,-1.54315589345436,-16680.0,15241458744.5927,-3.31375636888916,6027.91350716348,11.639,9.61841800746962,7.01865154497786,4477476.0,3466029.0,2124254.0,248521.0,834431.0,611169.0,,-6.596848699613997,84013.08295893185,0.3928113116416398,0.1169921299430294,0.2877099442910311,84019.67980763146
2021,2489762.0,-1.54312080996395,-32848.0,18031989573.0294,8.96957619074095,7242.45513146613,11.474,9.52948598024897,6.75791457973236,5464641.0,4268607.0,3079897.0,359982.0,1231662.0,815685.0,,-13.193228911036476,123702.4663401562,0.3999036331409784,0.1168811814161317,0.2648416489252725,123715.65956906724
2022,2451636.0,-1.54315667695786,-16426.0,19017247013.8821,4.8268006234359,7756.96188744253,10.785,9.17717025231113,7.57934042905775,8637367.0,4533716.0,3239522.0,394498.0,1075298.0,912167.0,,-6.700015826166691,132137.15249735277,0.3319310688428725,0.1217766077834939,0.2815745656303615,132143.85251317895
2023,2414095.0,-1.54310811387613,-25357.0,23491242727.4082,4.01541716935742,9730.86921906893,10.669,8.66778018906039,6.90036950940795,7657708.0,4666996.0,3442610.0,455052.0,1049901.0,992164.0,,-10.5037291407339,142604.57852735705,0.3049723901342295,0.1321822686856774,0.2882011032327217,142615.0822564978
2024,2377128.0,-1.54314393524594,-24472.0,27046429296.6673,4.04592845095348,11377.7757431099,10.689,8.40939322766939,6.32349466068578,7038503.0,4682374.0,3141954.0,450113.0,920184.0,922915.0,,-10.294775880810793,132174.37176290044,0.2928699783637825,0.1432589401372521,0.2937391826869521,132184.66653878125
2025,,,-24230.0,,,,10.926,,,,,74903.0,11102.0,7584.0,35478.0,,,,0.1012509512302578,0.1482183624153905,0.4736525906839512,
