year,fdi_percent_gdp,gdp_current_usd,gdp_growth_annual_percent,gdp_per_capita_current_usd,net_migration,population_growth_annual_percent,population_total,remittances_percent_gdp,unemployment_total_percent,eurostat_emigration_from_europe,eurostat_immigration_to_europe,total_first_residence_permits,education_permits,employment_permits,family_permits,net_migration_rate_per_1000,residence_permits_per_100k_population,employment_permit_share,education_permit_share,family_permit_share,migration_pressure_index,dependency_ratio_total,elderly_population_65_plus,elderly_share_65_plus_percent,fertility_rate,life_expectancy_total,old_age_dependency_ratio,population_growth_annual_percent_demographic,population_total_demographic,working_age_population_15_64,working_age_share_15_64_percent,youth_dependency_ratio,youth_population_0_14,youth_share_0_14_percent,youth_to_working_age_ratio,elderly_to_working_age_ratio,working_age_population_change,elderly_population_change
2010,9.01744998049889,12086545641.299,2.97315442681247,4149.14469936847,-51907.0,-0.49646196338738,2913021.0,13.1267801276088,14.086,,,2417235.0,477621.0,778042.0,779178.0,-17.818958394052085,82980.34926627718,0.3218727182090281,0.197589808189936,0.3223426766532836,82998.16822467123,48.40341391619674,318103.0,10.9200550479108,1.653,78.414,16.205709185407155,-0.49646196338738,2913021.0,1962907.0,67.3838908889083,32.19770473078959,632011.0,21.6960540631808,0.3219770473078959,0.16205709185407155,4212.0,8858.0
2011,8.08329285826067,12973755874.5365,2.46351683915714,4465.70914328865,-18630.0,-0.269017331764615,2905195.0,11.963216583924,13.481,,,2084134.0,457699.0,491321.0,710126.0,-6.412650441708732,71738.17936489634,0.2357434790661253,0.2196111190547248,0.3407295308267127,71744.59201533804,47.39391651725331,326201.0,11.2281830971209,1.677,78.303,16.549672711185252,-0.269017331764615,2905195.0,1971042.0,67.8454159774467,30.84424380606806,607953.0,20.9264009254324,0.3084424380606806,0.1654967271118525,8135.0,8098.0
2012,7.49597513325321,12246499747.9714,0.984129880204108,4280.93316338873,-19845.0,-1.54313670532257,2860708.0,11.5932923255515,13.376,,,2037669.0,426266.0,456380.0,678707.0,-6.937093894238769,71229.53478649342,0.2239716067722481,0.209192955283709,0.3330801028037429,71236.47188038766,46.6305614201807,329248.0,11.5093140765442,1.719,78.084,16.876178584627183,-1.54313670532257,2860708.0,1950963.0,68.198600414295,29.75438283555352,580497.0,20.2920855091608,0.29754382835553517,0.16876178584627183,-20079.0,3047.0
2013,9.80035898039468,12796985886.1478,1.7072283175406,4542.92903556739,-20681.0,-1.54314471365633,2816902.0,10.0167971204892,15.866,,,2280476.0,428997.0,509591.0,670490.0,-7.341753458231774,80956.88099905499,0.2234581727674398,0.1881173053345003,0.294013179704588,80964.22275251322,46.229489134153226,332962.0,11.8201351814959,1.741,77.995,17.284542792431516,-1.54314471365633,2816902.0,1926357.0,68.3856722403311,28.944946341721707,557583.0,19.794192578173,0.28944946341721706,0.17284542792431518,-24606.0,3714.0
2014,8.64846635716115,13296322588.1684,2.24022695382642,4793.59751131525,-21706.0,-1.54313753739282,2773767.0,10.6872215602712,18.055,,,2217412.0,434843.0,540863.0,668252.0,-7.825459023775249,79942.25902896674,0.2439163312907118,0.1961038363641939,0.3013657362727359,79950.08448799052,46.099079719702175,337478.0,12.1667692065035,1.721,78.029,17.775546837800597,-1.54313753739282,2773767.0,1898552.0,68.4466928018412,28.32353288190157,537737.0,19.3865379916553,0.28323532881901575,0.177755468378006,-27805.0,4516.0
2015,8.62740636982337,11470171826.9575,2.2277040745779,4199.53912925398,-20500.0,-1.54312006878448,2731293.0,11.2540904144104,17.193,6078939.0,10169201.0,2513506.0,482943.0,667160.0,753099.0,-7.50560265778882,92026.2307998446,0.2654300407478637,0.1921391872547748,0.2996209278991178,92033.7364025024,46.063682495576046,342589.0,12.5431065412926,1.631,78.358,18.32092379780452,-1.54312006878448,2731293.0,1869933.0,68.4632957891861,27.742758697771524,518771.0,18.9935976695213,0.27742758697771525,0.1832092379780452,-28619.0,5111.0
2016,8.71147225448456,11988668784.6628,3.90893551362245,4457.63412207495,-9347.0,-1.54313470861992,2689469.0,10.8936962925845,15.418,6625508.0,9341215.0,2911426.0,451813.0,809781.0,780791.0,-3.4754072272258947,108252.81867907757,0.278138960083478,0.1551861527650024,0.2681816401996822,108256.29408630476,46.04186418791751,347485.0,12.9202121629827,1.555,78.643,18.868913223144983,-1.54313470861992,2689469.0,1841574.0,68.473513186339,27.172950964772525,500410.0,18.6062746506784,0.27172950964772524,0.18868913223144984,-28359.0,4896.0
2017,7.71411336285186,13258268435.6048,3.28317593330073,5006.36012951959,-14901.0,-1.54315156766944,2648285.0,9.89437224407924,13.616,6565859.0,9501195.0,3064248.0,475071.0,936643.0,833617.0,-5.626660272591507,115706.88200099312,0.3056681443538512,0.1550367333192352,0.2720461920836695,115712.5086612657,46.17477818101533,352365.0,13.3053911120274,1.486,78.9,19.449143771819674,-1.54315156766944,2648285.0,1811725.0,68.411252681582,26.72563440919566,484195.0,18.2833562063906,0.2672563440919566,0.19449143771819674,-29849.0,4880.0
2018,7.83109146132114,15379508329.7568,3.67141928098908,5897.65452588774,-15032.0,-1.54309991591532,2607733.0,9.48151283244669,12.304,6169837.0,9780093.0,3047171.0,525927.0,979403.0,913950.0,-5.764393824060975,116851.34175929822,0.3214138622348401,0.1725951710619456,0.2999339387254604,116857.10615312228,46.50893245403992,358290.0,13.739521828078,1.415,79.238,20.129624240272285,-1.54309991591532,2607733.0,1779914.0,68.2552118334715,26.379308213767636,469529.0,18.0052663384505,0.2637930821376763,0.20129624240272284,-31811.0,5925.0
2019,7.70621465029911,15585111614.0376,2.06257790176122,6069.43903131027,-23094.0,-1.54313709096794,2567801.0,9.45012315653745,11.466,6517560.0,10483989.0,2695223.0,336665.0,1048369.0,793904.0,-8.99368759494992,104962.3004274864,0.3889730089124351,0.1249117419968589,0.2945596709437401,104971.29411508134,47.04237530779362,365863.0,14.2480986631067,1.395,79.467,20.95075302067228,-1.54313709096794,2567801.0,1746300.0,68.0076096803147,26.09162228712134,455638.0,17.7442916565786,0.2609162228712134,0.20950753020672278,-33614.0,7573.0
2020,7.01865154497786,15241458744.5927,-3.31375636888916,6027.91350716348,-16680.0,-1.54315589345436,2528480.0,9.61841800746962,11.639,3466029.0,4477476.0,2124254.0,248521.0,834431.0,611169.0,-6.596848699613997,84013.08295893185,0.3928113116416398,0.1169921299430294,0.2877099442910311,84019.67980763146,47.68647126853031,373381.0,14.7670044100644,1.371,77.824,21.808873520787824,-1.54315589345436,2528480.0,1712060.0,67.7110196944345,25.877597747742488,443040.0,17.5219758955011,0.25877597747742487,0.21808873520787822,-34240.0,7518.0
2021,6.75791457973236,18031989573.0294,8.96957619074095,7242.45513146613,-32848.0,-1.54312080996395,2489762.0,9.52948598024897,11.474,4268607.0,5464641.0,3079897.0,359982.0,1231662.0,815685.0,-13.193228911036476,123702.4663401562,0.3999036331409784,0.1168811814161317,0.2648416489252725,123715.65956906724,48.441601724710495,380087.0,15.2660050732804,1.365,76.844,22.661090929470383,-1.54312080996395,2489762.0,1677267.0,67.3665631972931,25.780510795240115,432408.0,17.3674317294264,0.25780510795240114,0.22661090929470382,-34793.0,6706.0
2022,7.57934042905775,19017247013.8821,4.8268006234359,7756.96188744253,-16426.0,-1.54315667695786,2451636.0,9.17717025231113,10.785,4533716.0,8637367.0,3239522.0,394498.0,1075298.0,912167.0,-6.700015826166691,132137.15249735277,0.3319310688428725,0.1217766077834939,0.2815745656303615,132143.85251317895,49.25104634350506,386778.0,15.7763381628571,1.355,78.769,23.546335895289552,-1.54315667695786,2451636.0,1642625.0,67.0011896981477,25.704710448215508,422232.0,17.2224721389952,0.25704710448215506,0.23546335895289552,-34642.0,6691.0
2023,6.90036950940795,23491242727.4082,4.01541716935742,9730.86921906893,-25357.0,-1.54310811387613,2414095.0,8.66778018906039,10.669,4666996.0,7657708.0,3442610.0,455052.0,1049901.0,992164.0,-10.5037291407339,142604.57852735705,0.3049723901342295,0.1321822686856774,0.2882011032327217,142615.0822564978,50.02392582373193,393546.0,16.3020000675759,1.348,79.602,24.45691487378351,-1.54310811387613,2414095.0,1609140.0,66.6560264328305,25.567010949948425,411409.0,17.0419734995937,0.2556701094994842,0.2445691487378351,-33485.0,6768.0
2024,6.32349466068578,27046429296.6673,4.04592845095348,11377.7757431099,-24472.0,-1.54314393524594,2377128.0,8.40939322766939,10.689,4682374.0,7038503.0,3141954.0,450113.0,920184.0,922915.0,-10.294775880810793,132174.37176290044,0.2928699783637825,0.1432589401372521,0.2937391826869521,132184.66653878125,50.97429383464854,402276.0,16.922756199529,1.341,79.776,25.549038598942538,-1.54314393524594,2377128.0,1574525.0,66.2364608476109,25.425255235706008,400327.0,16.8407829528601,0.25425255235706007,0.25549038598942536,-34615.0,8730.0
2025,,,,,-24230.0,,,,10.926,,,74903.0,11102.0,7584.0,35478.0,,,0.1012509512302578,0.1482183624153905,0.4736525906839512,,52.04106333987253,415053.0,17.6221063807332,,,26.792841608682096,,2355297.0,1549119.0,65.7716964503975,25.24822173119044,391125.0,16.6061971688693,0.2524822173119044,0.26792841608682094,-25406.0,12777.0
