reason_code,reason,citizenship_code,citizenship_country,duration_code,duration,reporting_country_code,reporting_country,year,value,is_total_reason
TOTAL,Total,AL,Albania,TOTAL,Total,EL,Greece,2018,16936,True
TOTAL,Total,AL,Albania,TOTAL,Total,EL,Greece,2019,15733,True
TOTAL,Total,AL,Albania,TOTAL,Total,EL,Greece,2020,7768,True
TOTAL,Total,AL,Albania,TOTAL,Total,EL,Greece,2021,10231,True
TOTAL,Total,AL,Albania,TOTAL,Total,EL,Greece,2022,14356,True
TOTAL,Total,AL,Albania,TOTAL,Total,EL,Greece,2023,12628,True
TOTAL,Total,AL,Albania,TOTAL,Total,EL,Greece,2024,16525,True
TOTAL,Total,AL,Albania,TOTAL,Total,ES,Spain,2008,165,True
TOTAL,Total,AL,Albania,TOTAL,Total,ES,Spain,2009,141,True
TOTAL,Total,AL,Albania,TOTAL,Total,ES,Spain,2010,121,True
TOTAL,Total,AL,Albania,TOTAL,Total,ES,Spain,2011,131,True
TOTAL,Total,AL,Albania,TOTAL,Total,ES,Spain,2012,133,True
TOTAL,Total,AL,Albania,TOTAL,Total,ES,Spain,2013,138,True
TOTAL,Total,AL,Albania,TOTAL,Total,ES,Spain,2014,134,True
TOTAL,Total,AL,Albania,TOTAL,Total,ES,Spain,2015,172,True
TOTAL,Total,AL,Albania,TOTAL,Total,ES,Spain,2016,217,True
TOTAL,Total,AL,Albania,TOTAL,Total,ES,Spain,2017,258,True
TOTAL,Total,AL,Albania,TOTAL,Total,ES,Spain,2018,285,True
TOTAL,Total,AL,Albania,TOTAL,Total,ES,Spain,2019,312,True
TOTAL,Total,AL,Albania,TOTAL,Total,ES,Spain,2020,422,True
TOTAL,Total,AL,Albania,TOTAL,Total,ES,Spain,2021,622,True
TOTAL,Total,AL,Albania,TOTAL,Total,ES,Spain,2022,718,True
TOTAL,Total,AL,Albania,TOTAL,Total,ES,Spain,2023,685,True
TOTAL,Total,AL,Albania,TOTAL,Total,ES,Spain,2024,678,True
TOTAL,Total,AL,Albania,TOTAL,Total,FR,France,2008,404,True
TOTAL,Total,AL,Albania,TOTAL,Total,FR,France,2009,397,True
TOTAL,Total,AL,Albania,TOTAL,Total,FR,France,2010,404,True
TOTAL,Total,AL,Albania,TOTAL,Total,FR,France,2011,487,True
TOTAL,Total,AL,Albania,TOTAL,Total,FR,France,2012,504,True
TOTAL,Total,AL,Albania,TOTAL,Total,FR,France,2013,646,True
TOTAL,Total,AL,Albania,TOTAL,Total,FR,France,2014,917,True
TOTAL,Total,AL,Albania,TOTAL,Total,FR,France,2015,1277,True
TOTAL,Total,AL,Albania,TOTAL,Total,FR,France,2016,1612,True
TOTAL,Total,AL,Albania,TOTAL,Total,FR,France,2017,1918,True
TOTAL,Total,AL,Albania,TOTAL,Total,FR,France,2018,2182,True
TOTAL,Total,AL,Albania,TOTAL,Total,FR,France,2019,2469,True
TOTAL,Total,AL,Albania,TOTAL,Total,FR,France,2020,1951,True
TOTAL,Total,AL,Albania,TOTAL,Total,FR,France,2021,2331,True
TOTAL,Total,AL,Albania,TOTAL,Total,FR,France,2022,2483,True
TOTAL,Total,AL,Albania,TOTAL,Total,FR,France,2023,2742,True
